id;ide;ide_other;ide_reason;ide_reason_other;ide_rating;ide_moving_reason;ide_moving_reason_other;language;language_other;language_reason;language_reason_other;language_rating;language_moving_reason;language_moving_reason_other;appstack;appstack_other;appstack_reason;appstack_reason_other;appstack_rating;appstack_moving_reason;appstack_moving_reason_other;architecture;architecture_other;architecture_reason;architecture_reason_other;architecture_rating;architecture_moving_reason;architecture_moving_reason_other;database;database_other;database_reason;database_reason_other;database_rating;database_moving_reason;database_moving_reason_other;devops;devops_reason;devops_reason_other;performance;performance_reason;performance_reason_other;exciting_tech;tech_choices;productivity_boost;job_description;job_description_other;company;teamsize;experience_years;country
31c1a5b7468ac7a89b9f7c6b6be9f723;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;6;;;Split architecture: frontend / backend;;Hype: it was a modern approach;;8;;;MongoDB;;Developer friendliness;;8;;;We don't even have ops;Better internal communication;;Developers are equipped with profilers to monitor performance;Performance directly affects our bottom line;;java ee;I wish we've chosen a different set of technologies;Application stack ;Software Developer;;Startup (I work in a small cupboard at home);1-2;1;Tanzania
cef03892e9fafae24cc08c6e7f8fa4bf;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;7;;;Split architecture: frontend / backend;;Legacy reasons: it was picked ages ago, must have made sense then;;9;;;MySQL;;Familiarity: we know it the best;;10;;;Not interested, we like the wall where it is;Lowering complexity of the maintenance;;We don't care;We don't know how to properly address performance issues;;Blockchain;We're good, it feels productive, and we know how to move forward;We need to become DevOps;Software Developer;;Contractor / Freelance (I work when, where and for whom I want!);1-2;5;Tunisia
515c0c06b29f83d6f827ad48fac4f445;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;8;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;SOA;;Suitability: it fits our requirements most effectively;;6;;;MySQL;;Suitability: it fits our architechture / requirements;;9;;;We have a DevOps engineer;Faster delivery of features;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;"JavaEE;kotlin;docker;kubernetes";We're good, it feels productive, and we know how to move forward;Virtualization tools;Consultant;;Enterprise Company (I work in a cubicle or large open plan office);1-2;15;United States of America (USA)
48f6656a4ed8f98b2cd6e3289b2ca977;Eclipse ;;Budget;;8;;;Java 8 (or newer);;Functional superiority;;8;;;Spring ;;Ecosystem: tooling, libraries, plenty of users, and support;;9;;;Split architecture: frontend / backend;;Suitability: it fits our requirements most effectively;;7;;;Oracle DB;;Company policy: we have licenses already;;8;;;We are the DevOps ;Faster resolution of problems;;We react to the user complains;Performance has never been a requirement;;JPMS;The tools are fine, the project is just too old;I need more tools not changing the existing;Architect;;Enterprise Company (I work in a cubicle or large open plan office);10-19;16;Spain
8e731d17cc3c0f07564d0e337acf3faf;IntelliJ IDEA;;Functionality: it's superior;;9;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;9;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;10;;;Split architecture: frontend / backend;;Suitability: it fits our requirements most effectively;;10;;;Postgres;;Suitability: it fits our architechture / requirements;;10;;;The Dev team and the Ops team work together;Faster delivery of features;;We have APMs and monitor health of the deployments;Performance directly affects our bottom line;;React Native;We're good, it feels productive, and we know how to move forward;IDE;Director/VP/C-Level;;Midsized company (I work in an open plan office);20-49;17;United States of America (USA)
1619431336f5d008cdc7a33eeeffdf6f;NetBeans;;Functionality: it's superior;;9;;;Java 8 (or newer);;It was an experiment;;9;;;Java EE;;;Due to standardization and affinity towards Java ecosystem :);9;;;Microservices;;Our application stack encourages it;;8;;;Couchbase;;It's strongly encouraged by our application stack choice;;8;;;We are the DevOps ;Faster delivery of features;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;I want to use docker+Kub in prod. Though Kub irritated me till now. Websocket is next thing I am going to use. Angular 4. Worried about OAuth. Cognito vs Firebase vs self written.;We're good, it feels productive, and we know how to move forward;I need more tools not changing the existing;Architect;;Startup (I work in a small cupboard at home);1-2;10;India
38153a862f09305210cca397eb753dbe;IntelliJ IDEA;;Familiarity: it's what I know;;8;;;Java 7 (or older);;Ecosystem: community, tools, libraries;;8;;;Java EE;;It's functionally superior;;9;;;Monolith;;Suitability: it fits our requirements most effectively;;9;;;Oracle DB;;Company policy: we have licenses already;;7;;;The Dev team and the Ops team work together;Stable operating environment;;Developers are equipped with profilers to monitor performance;Performance directly affects our bottom line;;"Apache Meecrowave; ";We're good, it feels productive, and we know how to move forward;I'm the rockstar ninja as is. I'm good.;Software Developer;;Contractor / Freelance (I work when, where and for whom I want!);100+;30;Austria
05cc9dc988ef85eb3a05806291d4e0b5;IntelliJ IDEA;;Project requires it;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;10;;;Java EE;;Project requirements: it was the best fit for this particular project;;10;;;SOA;;Suitability: it fits our requirements most effectively;;10;;;MS SQL;;Company policy: we have licenses already;;10;;;The Dev team and the Ops team work together;Stable operating environment;;We benchmark or have performance tests to catch regressions;We don't know how to properly address performance issues;;Microservices;We're good, it feels productive, and we know how to move forward;Virtualization tools;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);3-9;10;United States of America (USA)
b76c0e1162ddcc22c4a7c194980b1f95;Eclipse ;;Project requires it;;5;It's a fixed project / company requirement;;Java 7 (or older);;Company policy: we're a $LANG shop;;6;;;Java EE;;Company policy: we have other projects using the same stack;;8;;;Monolith;;Legacy reasons: it was picked ages ago, must have made sense then;;5;It's a fixed project / company requirement;;Oracle DB;;Suitability: it fits our architechture / requirements;;8;;;At least we talk to the Ops people;Better internal communication;;We react to the user complains;We don't know how to properly address performance issues;;"GIT;";I wish we've chosen a different set of technologies;Project architecture;Software Developer;;Small company (I work in a shared office space or small office);10-19;12;United States of America (USA)
5e73aaee978bd01df94206a523c5ae77;NetBeans;;Functionality: it's superior;;10;;;Java 8 (or newer);;Functional superiority;;10;;;Java EE;;It's functionally superior;;10;;;Monolith;;Familiarity: we have the skills and know we can make it work;;10;;;MS SQL;;It's strongly encouraged by our application stack choice;;10;;;Not interested, we like the wall where it is;Happier team;;We react to the user complains;Performance directly affects our bottom line;;Java EE 8;We're good, it feels productive, and we know how to move forward;I'm the rockstar ninja as is. I'm good.;Software Developer;;Small company (I work in a shared office space or small office);3-9;12;France
be7cbeb9dea823ce9dd9662ec514895f;NetBeans;;Familiarity: it's what I know;;7;;;Java 8 (or newer);;Functional superiority;;8;;;Java EE;;Project requirements: it was the best fit for this particular project;;9;;;Microservices;;Suitability: it fits our requirements most effectively;;9;;;Oracle DB;;Company policy: we have licenses already;;7;;;The Dev team and the Ops team work together;Faster delivery of features;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;MicroProfile;We're good, it feels productive, and we know how to move forward;We need to become DevOps;Team Lead;;Small company (I work in a shared office space or small office);10-19;20;United States of America (USA)
2102a6f81eb741d5ad9fc6472ab2228b;IntelliJ IDEA;;Functionality: it's superior;;10;;;Java 8 (or newer);;Ecosystem: community, tools, libraries;;10;;;Java EE;;It's functionally superior;;9;;;SOA;;Our application stack encourages it;;6;;;Postgres;;Company policy: we have licenses already;;9;;;We have a DevOps engineer;Better internal communication;;Developers are equipped with profilers to monitor performance;Performance has never been a requirement;;Java 9;The tools are fine, the project is just too old;We need to become DevOps;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);3-9;10;
b9cc6176ddcd252903c7c58dca7310a3;Eclipse ;;Project requires it;;6;;;Java 7 (or older);;Team skills: it was what we knew the best;;6;;;Java EE;;Ecosystem: tooling, libraries, plenty of users, and support;;7;;;Monolith;;Our application stack encourages it;;10;;;MySQL;;Suitability: it fits our architechture / requirements;;8;;;At least we talk to the Ops people;Stable operating environment;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;Java EE 8;The tools are fine, the project is just too old;We need to care about performance more;Software Developer;;Midsized company (I work in an open plan office);10-19;15;
9e6bbe48da61047eb164045246f086ba;NetBeans;;Familiarity: it's what I know;;9;;;Java 8 (or newer);;Functional superiority;;9;;;Java EE;;It's functionally superior;;9;;;Monolith;;Familiarity: we have the skills and know we can make it work;;7;;;Oracle DB;;Familiarity: we know it the best;;6;;;We don't even have ops;Faster resolution of problems;;We benchmark or have performance tests to catch regressions;Performance directly affects our bottom line;;"redash;deeplearning4j;tensorflow";We're good, it feels productive, and we know how to move forward;Application stack ;Software Developer;;Enterprise Company (I work in a cubicle or large open plan office);10-19;15;Japan
c3afc4c860d150b3fc0b55f9eab90764;NetBeans;;Functionality: it's superior;;7;;;Java 8 (or newer);;Functional superiority;;6;;;Java EE;;Familiarity: we know it the best;;8;;;Split architecture: frontend / backend;;Our application stack encourages it;;8;;;MySQL;;It's strongly encouraged by our application stack choice;;7;;;We don't even have ops;Lowering complexity of the maintenance;;We don't care;Performance tooling / experts are expensive;;JNativeHook;We're good, it feels productive, and we know how to move forward;Application stack ;Team Lead;;I'm actually out of work (How insensitive of you!);3-9;2;Egypt
